canonical_id,HIP,survey,spectral_class,distance_pc,stellar_mass_Msun,stellar_age_Gyr,age_uncertainty,detected,fractional_luminosity,fractional_luminosity_error,upper_limit,temperature_assumption,source_row,overlap_resolution,eligibility_flag,exclusion_reason
HIP 3821,3821,DUNES,G,5.95,,6.43,,False,,,-6.618332621924283,20-100 K grid; beta=1 lambda0=210 um,3821,DUNES strict input,True,
HIP 3909,3909,DUNES,F,15.75,,2.93,,False,,,-5.907079946741883,20-100 K grid; beta=1 lambda0=210 um,3909,DUNES strict input,True,
HIP 4148,4148,DUNES,K,14.17,,3.64,,True,-5.162272927658945,0.08014234062468664,,20-100 K grid; beta=1 lambda0=210 um,4148,DUNES strict input,True,
HIP 7513,7513,DUNES,F,13.49,,7.26,,False,,,-6.184855540212437,20-100 K grid; beta=1 lambda0=210 um,7513,DUNES strict input,True,
HIP 7978,7978,DUNES,F,17.43,,1.74,,True,-3.4794843040685532,0.09515878374965074,,20-100 K grid; beta=1 lambda0=210 um,7978,DUNES strict input,True,
HIP 8768,8768,DUNES,K,11.01,,2.03,,False,,,-5.158850580302822,20-100 K grid; beta=1 lambda0=210 um,8768,DUNES strict input,True,
HIP 10138,10138,DUNES,K,10.78,,1.79,,False,,,-5.798983422840767,20-100 K grid; beta=1 lambda0=210 um,10138,DUNES strict input,True,
HIP 10798,10798,DUNES,G,12.67,,6.54,,False,,,-5.775887484181637,20-100 K grid; beta=1 lambda0=210 um,10798,DUNES strict input,True,
HIP 11964,11964,DUNES,K,11.6,,0.18,,False,,,-5.1542058474453984,20-100 K grid; beta=1 lambda0=210 um,11964,DUNES strict input,True,
HIP 12777,12777,DUNES,F,11.13,,7.92,,False,,,-6.325277673244276,20-100 K grid; beta=1 lambda0=210 um,12777,DUNES strict input,True,
HIP 13402,13402,DUNES,K,10.35,,0.14,,True,-4.733237154956387,0.10638915887927143,,20-100 K grid; beta=1 lambda0=210 um,13402,DUNES strict input,True,
HIP 14954,14954,DUNES,F,22.58,,5.67,,True,-5.367833727501841,0.0837918299987175,,20-100 K grid; beta=1 lambda0=210 um,14954,DUNES strict input,True,
HIP 15330,15330,DUNES,G,12.01,,4.11,,False,,,-5.834398411671226,20-100 K grid; beta=1 lambda0=210 um,15330,DUNES strict input,True,
HIP 35136,35136,DUNES,G,16.89,,5.25,,False,,,-5.764096169592798,20-100 K grid; beta=1 lambda0=210 um,35136,DUNES strict input,True,
HIP 38382,38382,DUNES,G,16.5,,4.49,,False,,,-5.807259337298297,20-100 K grid; beta=1 lambda0=210 um,38382,DUNES strict input,True,
HIP 38784,38784,DUNES,G,17.19,,3.75,,False,,,-5.763758765892652,20-100 K grid; beta=1 lambda0=210 um,38784,DUNES strict input,True,
HIP 40693,40693,DUNES,K,12.49,,6.43,,False,,,-5.927329017996314,20-100 K grid; beta=1 lambda0=210 um,40693,DUNES strict input,True,
HIP 42430,42430,DUNES,G,19.4,,7.18,,False,,,-6.121053867910398,20-100 K grid; beta=1 lambda0=210 um,42430,DUNES strict input,True,
HIP 42438,42438,DUNES,G,14.36,,0.26,,True,-5.31052166461426,0.19560348109394526,,20-100 K grid; beta=1 lambda0=210 um,42438,DUNES strict input,True,
HIP 43587,43587,DUNES,G,12.34,,8.43,,False,,,-5.965533244768033,20-100 K grid; beta=1 lambda0=210 um,43587,DUNES strict input,True,
HIP 43726,43726,DUNES,G,17.39,,1.6,,True,-5.067442469379941,0.1728019270722358,,20-100 K grid; beta=1 lambda0=210 um,43726,DUNES strict input,True,
HIP 44897,44897,DUNES,F,19.19,,1.2,,False,,,-5.902163934946173,20-100 K grid; beta=1 lambda0=210 um,44897,DUNES strict input,True,
HIP 45333,45333,DUNES,F,19.57,,7.96,,False,,,-6.073274871314863,20-100 K grid; beta=1 lambda0=210 um,45333,DUNES strict input,True,
HIP 45617,45617,DUNES,K,17.27,,1.56,,False,,,-5.671509914548279,20-100 K grid; beta=1 lambda0=210 um,45617,DUNES strict input,True,
HIP 46580,46580,DUNES,K,12.91,,0.91,,False,,,-5.268200301356148,20-100 K grid; beta=1 lambda0=210 um,46580,DUNES strict input,True,
HIP 47592,47592,DUNES,G,15.01,,4.14,,False,,,-5.9606452453171626,20-100 K grid; beta=1 lambda0=210 um,47592,DUNES strict input,True,
HIP 49081,49081,DUNES,G,15.05,,6.02,,False,,,-5.981797806437795,20-100 K grid; beta=1 lambda0=210 um,49081,DUNES strict input,True,
HIP 49908,49908,DUNES,K,4.87,,3.21,,True,-8.687084609287059,3.79464376540076,,20-100 K grid; beta=1 lambda0=210 um,49908,DUNES strict input,True,
HIP 51459,51459,DUNES,F,12.78,,2.97,,True,-6.063547930987762,0.24044463913248867,,20-100 K grid; beta=1 lambda0=210 um,51459,DUNES strict input,True,
HIP 51502,51502,DUNES,F,21.5,,0.3,,True,-5.050496863629858,0.08031063695855094,,20-100 K grid; beta=1 lambda0=210 um,51502,DUNES strict input,True,
HIP 53721,53721,DUNES,G,14.06,,4.93,,False,,,-6.119151775627412,20-100 K grid; beta=1 lambda0=210 um,53721,DUNES strict input,True,
HIP 54646,54646,DUNES,K,11.87,,2.4,,False,,,-5.434427076332769,20-100 K grid; beta=1 lambda0=210 um,54646,DUNES strict input,True,
HIP 56452,56452,DUNES,K,9.56,,4.9,,False,,,-5.8255137911869745,20-100 K grid; beta=1 lambda0=210 um,56452,DUNES strict input,True,
HIP 57507,57507,DUNES,G,17.47,,5.2,,False,,,-5.607608716800866,20-100 K grid; beta=1 lambda0=210 um,57507,DUNES strict input,True,
HIP 57939,57939,DUNES,G,9.09,,4.71,,False,,,-5.942621785133922,20-100 K grid; beta=1 lambda0=210 um,57939,DUNES strict input,True,
HIP 58345,58345,DUNES,K,10.16,,2.3,,False,,,-5.57677950727007,20-100 K grid; beta=1 lambda0=210 um,58345,DUNES strict input,True,
HIP 62145,62145,DUNES,K,14.88,,0.8,,False,,,-5.669609812624158,20-100 K grid; beta=1 lambda0=210 um,62145,DUNES strict input,True,
HIP 62207,62207,DUNES,G,17.38,,6.24,,True,-4.689493202528577,0.09689381719281277,,20-100 K grid; beta=1 lambda0=210 um,62207,DUNES strict input,True,
HIP 62523,62523,DUNES,G,16.93,,0.37,,False,,,-5.840048348795976,20-100 K grid; beta=1 lambda0=210 um,62523,DUNES strict input,True,
HIP 64792,64792,DUNES,G,17.56,,0.41,,False,,,-5.939999791686442,20-100 K grid; beta=1 lambda0=210 um,64792,DUNES strict input,True,
HIP 64797,64797,DUNES,K,11.07,,1.36,,False,,,-5.740809228868043,20-100 K grid; beta=1 lambda0=210 um,64797,DUNES strict input,True,
HIP 65026,65026,DUNES,K,10.71,,2.74,,False,,,-5.293026561899671,20-100 K grid; beta=1 lambda0=210 um,65026,DUNES strict input,True,
HIP 65721,65721,DUNES,G,17.99,,7.89,,True,-5.549636754230797,0.08963575885536539,,20-100 K grid; beta=1 lambda0=210 um,65721,DUNES strict input,True,
HIP 67275,67275,DUNES,F,15.62,,2.32,,False,,,-6.390742109194882,20-100 K grid; beta=1 lambda0=210 um,67275,DUNES strict input,True,
HIP 67422,67422,DUNES,K,13.41,,1.06,,False,,,-5.7552629981323005,20-100 K grid; beta=1 lambda0=210 um,67422,DUNES strict input,True,
HIP 67620,67620,DUNES,G,19.47,,2.02,,False,,,-5.546272477052167,20-100 K grid; beta=1 lambda0=210 um,67620,DUNES strict input,True,
HIP 68184,68184,DUNES,K,10.06,,7.18,,False,,,-5.672377545285634,20-100 K grid; beta=1 lambda0=210 um,68184,DUNES strict input,True,
HIP 68682,68682,DUNES,G,16.98,,4.25,,False,,,-5.908067967483685,20-100 K grid; beta=1 lambda0=210 um,68682,DUNES strict input,True,
HIP 69965,69965,DUNES,F,18.03,,1.45,,False,,,-5.8660267431826725,20-100 K grid; beta=1 lambda0=210 um,69965,DUNES strict input,True,
HIP 70319,70319,DUNES,G,17.19,,5.8,,False,,,-5.697869032577767,20-100 K grid; beta=1 lambda0=210 um,70319,DUNES strict input,True,
HIP 70857,70857,DUNES,G,19.89,,4.95,,False,,,-5.585293593507554,20-100 K grid; beta=1 lambda0=210 um,70857,DUNES strict input,True,
HIP 71181,71181,DUNES,K,13.22,,2.25,,True,-5.242283605744181,0.24438740675797563,,20-100 K grid; beta=1 lambda0=210 um,71181,DUNES strict input,True,
HIP 71681,71681,DUNES,K,1.25,,5.18,,False,,,-6.227578595679198,20-100 K grid; beta=1 lambda0=210 um,71681,DUNES strict input,True,
HIP 71683,71683,DUNES,G,1.32,,7.7,,False,,,-6.468511443269134,20-100 K grid; beta=1 lambda0=210 um,71683,DUNES strict input,True,
HIP 15371,15371,DUNES,G,12.03,,3.59,,True,-5.288530222817661,0.08368896673653634,,20-100 K grid; beta=1 lambda0=210 um,15371,DUNES strict input,True,
HIP 15799,15799,DUNES,K,17.42,,2.84,,False,,,-5.565388490453957,20-100 K grid; beta=1 lambda0=210 um,15799,DUNES strict input,True,
HIP 16134,16134,DUNES,K,12.49,,1.44,,False,,,-5.430821488401945,20-100 K grid; beta=1 lambda0=210 um,16134,DUNES strict input,True,
HIP 17420,17420,DUNES,K,13.95,,1.35,,True,-4.956058249948082,0.1591713963728382,,20-100 K grid; beta=1 lambda0=210 um,17420,DUNES strict input,True,
HIP 17439,17439,DUNES,K,16.03,,0.76,,True,-4.251164139393603,0.08369254310246371,,20-100 K grid; beta=1 lambda0=210 um,17439,DUNES strict input,True,
HIP 19849,19849,DUNES,K,4.98,,4.3,,False,,,-6.435481234532833,20-100 K grid; beta=1 lambda0=210 um,19849,DUNES strict input,True,
HIP 19884,19884,DUNES,K,13.04,,2.54,,False,,,-5.464747090894081,20-100 K grid; beta=1 lambda0=210 um,19884,DUNES strict input,True,
HIP 22263,22263,DUNES,G,13.28,,1.21,,True,-4.515799508089801,0.13754506403918343,,20-100 K grid; beta=1 lambda0=210 um,22263,DUNES strict input,True,
HIP 23311,23311,DUNES,K,8.71,,5.09,,False,,,-5.773812350981261,20-100 K grid; beta=1 lambda0=210 um,23311,DUNES strict input,True,
HIP 25110,25110,DUNES,F,20.89,,1.21,,False,,,-5.842234593736287,20-100 K grid; beta=1 lambda0=210 um,25110,DUNES strict input,True,
HIP 27887,27887,DUNES,K,13.0,,2.6,,True,-5.485174622320239,0.11232140410431239,,20-100 K grid; beta=1 lambda0=210 um,27887,DUNES strict input,True,
HIP 28103,28103,DUNES,F,14.88,,0.64,,True,-5.601544485058946,0.10521627193200728,,20-100 K grid; beta=1 lambda0=210 um,28103,DUNES strict input,True,
HIP 29271,29271,DUNES,G,10.2,,5.49,,True,-6.284905324488389,0.09632990708107357,,20-100 K grid; beta=1 lambda0=210 um,29271,DUNES strict input,True,
HIP 29568,29568,DUNES,G,16.72,,0.28,,False,,,-5.4368770767261,20-100 K grid; beta=1 lambda0=210 um,29568,DUNES strict input,True,
HIP 32439,32439,DUNES,F,17.87,,7.05,,False,,,-6.068058797171702,20-100 K grid; beta=1 lambda0=210 um,32439,DUNES strict input,True,
HIP 32480,32480,DUNES,G,16.72,,6.32,,True,-4.149558007325072,0.08016864399636266,,20-100 K grid; beta=1 lambda0=210 um,32480,DUNES strict input,True,
HIP 33277,33277,DUNES,G,17.24,,5.45,,False,,,-5.944174576769818,20-100 K grid; beta=1 lambda0=210 um,33277,DUNES strict input,True,
HIP 34017,34017,DUNES,G,19.13,,5.54,,False,,,-5.882672057345477,20-100 K grid; beta=1 lambda0=210 um,34017,DUNES strict input,True,
HIP 34065,34065,DUNES,G,16.52,,6.24,,False,,,-5.901152733193469,20-100 K grid; beta=1 lambda0=210 um,34065,DUNES strict input,True,
HIP 89042,89042,DUNES,G,17.61,,5.4,,False,,,-5.938654912787477,20-100 K grid; beta=1 lambda0=210 um,89042,DUNES strict input,True,
HIP 91009,91009,DUNES,K,16.35,,0.12,,False,,,-5.086961818792196,20-100 K grid; beta=1 lambda0=210 um,91009,DUNES strict input,True,
HIP 92043,92043,DUNES,F,19.21,,4.74,,True,-6.203898167759226,0.14130007618813104,,20-100 K grid; beta=1 lambda0=210 um,92043,DUNES strict input,True,
HIP 95995,95995,DUNES,K,16.96,,7.48,,False,,,-5.7416005561644,20-100 K grid; beta=1 lambda0=210 um,95995,DUNES strict input,True,
HIP 96100,96100,DUNES,K,5.75,,3.67,,False,,,-6.18466732927066,20-100 K grid; beta=1 lambda0=210 um,96100,DUNES strict input,True,
HIP 96441,96441,DUNES,F,18.34,,0.39,,False,,,-6.302251868383186,20-100 K grid; beta=1 lambda0=210 um,96441,DUNES strict input,True,
HIP 97944,97944,DUNES,K,14.05,,0.49,,False,,,-5.867311042634192,20-100 K grid; beta=1 lambda0=210 um,97944,DUNES strict input,True,
HIP 98959,98959,DUNES,G,17.73,,4.06,,False,,,-5.795623420029368,20-100 K grid; beta=1 lambda0=210 um,98959,DUNES strict input,True,
HIP 99240,99240,DUNES,G,6.11,,8.3,,False,,,-6.41755679161,20-100 K grid; beta=1 lambda0=210 um,99240,DUNES strict input,True,
HIP 99461,99461,DUNES,K,6.02,,6.37,,False,,,-5.846458841249753,20-100 K grid; beta=1 lambda0=210 um,99461,DUNES strict input,True,
HIP 101955,101955,DUNES,K,16.72,,1.2,,False,,,-5.42988440606712,20-100 K grid; beta=1 lambda0=210 um,101955,DUNES strict input,True,
HIP 101997,101997,DUNES,G,14.38,,5.63,,False,,,-5.736514647454239,20-100 K grid; beta=1 lambda0=210 um,101997,DUNES strict input,True,
HIP 103389,103389,DUNES,F,21.97,,0.3,,True,-4.792797375581133,0.14697046123660618,,20-100 K grid; beta=1 lambda0=210 um,103389,DUNES strict input,True,
HIP 104214,104214,DUNES,K,3.49,,6.18,,False,,,-6.020134157097157,20-100 K grid; beta=1 lambda0=210 um,104214,DUNES strict input,True,
HIP 104217,104217,DUNES,K,3.5,,8.45,,False,,,-5.858632775047947,20-100 K grid; beta=1 lambda0=210 um,104217,DUNES strict input,True,
HIP 105312,105312,DUNES,G,17.97,,6.37,,False,,,-5.469759186092085,20-100 K grid; beta=1 lambda0=210 um,105312,DUNES strict input,True,
HIP 106696,106696,DUNES,K,14.62,,2.01,,False,,,-5.561202122313993,20-100 K grid; beta=1 lambda0=210 um,106696,DUNES strict input,True,
HIP 107350,107350,DUNES,G,17.89,,0.53,,True,-5.151217895691676,0.20048613012780084,,20-100 K grid; beta=1 lambda0=210 um,107350,DUNES strict input,True,
HIP 107649,107649,DUNES,G,15.99,,6.98,,True,-3.9552949138057953,0.08,,20-100 K grid; beta=1 lambda0=210 um,107649,DUNES strict input,True,
