luminosity_posterior,collisional_posterior,geometry,n,ratio_p16,ratio_median,ratio_p84,p_gt_1,p_gt_10
reference_luminosity,reference_collisional,ring,2500,0.03948046551299106,0.1895593893545109,1.0028720138062532,0.1608,0.0004
reference_luminosity,reference_collisional,broad,2500,0.0484388766358196,0.2329347079868349,1.2368556628166634,0.1976,0.0024
diagnostic_luminosity,reference_collisional,ring,2500,0.01220472198348118,0.06349468501056568,0.3331714691349775,0.0428,0.0
diagnostic_luminosity,reference_collisional,broad,2500,0.015018675336074466,0.07822714483419531,0.4108933357531368,0.0608,0.0
reference_luminosity,diagnostic_collisional,ring,2500,0.2609060797899869,1.9244270261728507,12.922207621718274,0.6308,0.2012
reference_luminosity,diagnostic_collisional,broad,2500,0.28562559815083605,2.1130075759604607,14.372784313774812,0.6516,0.218
diagnostic_luminosity,diagnostic_collisional,ring,2500,0.08906013263155078,0.6576155512996833,4.666260603637141,0.4132,0.088
diagnostic_luminosity,diagnostic_collisional,broad,2500,0.09655087320320337,0.7282818435699059,5.2004535641472875,0.4292,0.0948
