radius_definition,radius_median_au,width_median,fmax_median,ratio_median,p_gt_1
inner,16.187890803138416,2.3654705395392686,1.3336254449213165e-06,2.1599763092357955,0.654
outer,50.711887784024924,0.7028647292341174,6.443515020170339e-06,0.4309695251882565,0.3408
arithmetic_midpoint,33.44988929358168,1.0837184757473735,3.777166810611799e-06,0.7496620945470087,0.442
geometric_midpoint,28.65167537304122,1.2894207266350213,2.924859417229033e-06,0.9725151241225918,0.4932
width_midpoint,33.44988929358168,1.0837184757473735,3.777166810611799e-06,0.7496620945470087,0.442
flux_weighted,36.08601690635625,0.9970613920892606,4.2113819870910425e-06,0.6738862260761926,0.4184
cross_section_weighted,36.08601690635625,0.9970613920892606,4.211381987091047e-06,0.6738862260761933,0.4184
