group,shapley_log10_contribution,mc_sd,n_permutations
f,-0.45761773459733995,0.022226632085033667,2000
geometry,0.2268686112799138,0.03317729881114345,2000
age_myr,-0.005521100433231846,0.012861166977559004,2000
mass,-0.0008989930562361379,0.0034718722465572026,2000
blowout_um,0.6230534282682055,0.008856209075360636,2000
dc_km,-0.23421710506814433,0.0541233568496151,2000
qd,0.1212044925561085,0.04283140579601115,2000
e,0.4493502327028567,0.04960494744301029,2000
width,0.0,0.0,2000
