analysis,n_valid,ratio_p2_5,ratio_p16,ratio_median,ratio_p84,ratio_p97_5,p_gt_1,p_gt_10,p_gt_100,fmax_median
reference_ring,200000,0.009586843241915298,0.03672496346754841,0.18608025936957256,0.9385465986146695,3.6018910901964496,0.15033,0.00116,0.0,4.51050890616511e-05
reference_broad,200000,0.011750669935712072,0.04513481385229102,0.2291458892158028,1.1575045736081613,4.446190131550557,0.183245,0.002895,0.0,3.6641010597947694e-05
diagnostic_ring,2500,0.01746259723198106,0.09119530901661048,0.6738862260761933,4.877126255227346,25.78627677253499,0.4184,0.086,0.0008,4.211381987091047e-06
diagnostic_broad,2500,0.018589896855836383,0.10100921335408351,0.7412971449363863,5.37049484263635,29.757856698558392,0.4408,0.094,0.0012,3.83336766100167e-06
