analysis,n_valid,fmax_p2_5,fmax_p16,fmax_median,fmax_p84,fmax_p97_5,f_median,ratio_of_fmax_to_reference_ring
reference_ring,200000,2.3924532658319017e-06,9.00905560027228e-06,4.51050890616511e-05,0.00022633638225609927,0.0008564517284820084,8.366356038640208e-06,1.0
reference_broad,200000,1.9388212680667268e-06,7.307768086718312e-06,3.6641010597947694e-05,0.00018420470642296124,0.0006989269056406415,8.366356038640208e-06,0.8123475944779882
diagnostic_ring,2500,9.75413490767465e-08,6.067261322736468e-07,4.211381987091047e-06,2.831823545738377e-05,0.0001767435529448742,2.851297343462222e-06,0.09336822240467794
diagnostic_broad,2500,8.255254690526533e-08,5.466895720985605e-07,3.83336766100167e-06,2.623117992996463e-05,0.0001623812165573975,2.851297343462222e-06,0.08498747570949475
