parameter,spearman_rho_with_delta,p_value
age_myr,0.00412359424514659,0.06516511145073646
stellar_mass_solar,0.00934439681771061,2.927854371753318e-05
blowout_diameter_um,-0.0014327472461038188,0.5216913797547815
largest_body_km,0.002795242349420381,0.21127580018035613
disruption_energy_j_per_kg,-0.4230410320553515,0.0
eccentricity,0.9000668763155057,0.0
