model,quantity,p16,p50,p84,logz,logz_error
single_mbb,amplitude_160_mjy,64.2504680290848,72.4661768864887,80.54977015597183,-15.846516160102132,0.10915874511680575
single_mbb,temperature_k,68.97851108158294,76.07737690916647,86.59252412989984,-15.846516160102132,0.10915874511680575
single_mbb,fractional_luminosity,7.060864247699445e-06,8.357427655638217e-06,1.0318853153141367e-05,-15.846516160102132,0.10915874511680575
two_temperature,cold_amplitude_160_mjy,26.27313045518786,29.41318906787795,31.028398447449977,-22.34246018465804,0.16501891818881506
two_temperature,cold_temperature_k,49.763541398334404,55.699255902620294,58.77768893219877,-22.34246018465804,0.16501891818881506
two_temperature,warm_amplitude_160_mjy,28.611102122565313,30.378489048786456,31.303563969185916,-22.34246018465804,0.16501891818881506
two_temperature,warm_temperature_k,121.44455549238101,136.70596603967925,146.36174869839314,-22.34246018465804,0.16501891818881506
two_temperature,fractional_luminosity,1.20823373857132e-05,1.6319915675830696e-05,1.8768425033615678e-05,-22.34246018465804,0.16501891818881506
broad_belt,amplitude_160_mjy,62.239493469776626,70.76677893669122,79.44580739844987,-15.699629293963175,0.10757376476360064
broad_belt,inner_radius_au,5.15679278740568,13.491856036747649,21.273195163265292,-15.699629293963175,0.10757376476360064
broad_belt,temperature_scale,1.649790046583319,1.9037075590540082,2.2114155994609823,-15.699629293963175,0.10757376476360064
broad_belt,fractional_luminosity,8.029095340448027e-06,9.946641943636822e-06,1.3813117038217318e-05,-15.699629293963175,0.10757376476360064
central_chromosphere,treatment,,central ALMA component excluded from belt likelihood,,,
