parameter,r_hat,ess_bulk,ess_tail,mean,sd
alpha,1.0,3300.0,3300.0,-6.8,0.23
beta_age,1.0,3700.0,3600.0,-0.21,0.13
beta_mass,1.0,4200.0,4000.0,0.0062,0.13
survey_intercept,1.0,2300.0,3100.0,-0.26,0.42
sigma_dunes,1.0,3300.0,3300.0,1.3,0.19
sigma_debris,1.0,2800.0,3400.0,1.2,0.26
