,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
alpha,-6.8,0.23,-7.2,-6.4,3300.0,3300.0,1.0,0.0042,0.0033
beta_age,-0.21,0.13,-0.41,-0.008,3700.0,3600.0,1.0,0.0021,0.0015
beta_mass,0.0062,0.13,-0.2,0.22,4200.0,4000.0,1.0,0.002,0.0016
survey_intercept,-0.26,0.42,-0.96,0.38,2300.0,3100.0,1.0,0.009,0.0066
sigma_dunes,1.3,0.19,1.0,1.6,3300.0,3300.0,1.0,0.0034,0.0027
sigma_debris,1.2,0.26,0.8,1.6,2800.0,3400.0,1.0,0.0049,0.0042
