model,grain_parameter,note,ring_ratio_p16,ring_ratio_median,ring_ratio_p84,ring_p_gt_1,ring_p_gt_10,broad_ratio_p16,broad_ratio_median,broad_ratio_p84,broad_p_gt_1,broad_p_gt_10,Dmedian_um
A_reference_physical_Dbl,Dmin/Dbl per note,"physical Dbl; compact rho=1.25, Qpr=1",0.03920653922140514,0.18740704196554983,1.0085072774481523,0.162,0.001,0.048229666631885465,0.23093818378472689,1.2420308034385084,0.202,0.004,1.2202867240362432
B_diagnostic_luminosity_reference_geometry,Dmin/Dbl per note,diagnostic f only; physical Dbl,0.01338195354250567,0.06227722505153294,0.33730382817815274,0.04,0.0,0.01641987291089124,0.0765820110692578,0.41633501441712145,0.06,0.0,1.2202867240362432
C_diagnostic_luminosity_archival_geometry,Dmin/Dbl per note,archival geometry; reference collisional priors,0.021503322163873354,0.10613166972048538,0.5358386219570838,0.092,0.0,0.02347096627024566,0.11624267886222743,0.6013653676401847,0.101,0.0,1.2202867240362432
D_diagnostic_archival_Dmin20_reference_priors,Dmin/Dbl per note,Dmin=20; reference collisional priors,0.0872922163848123,0.4323826575678673,2.1642893755730945,0.307,0.018,0.09534354959512013,0.4723814948948344,2.421291043062182,0.33,0.025,20.0
F_full_diagnostic_Dmin20,Dmin/Dbl per note,diagnostic priors; fixed Dmin=20,0.09071392879350343,0.6639454235362406,4.6969984663454305,0.425,0.084,0.10007002427047071,0.726377510110713,5.1707176571368,0.443,0.093,20.0
