rho_g_cm3,Qpr,Dbl_rad_um,required_mdot_solar_for_20um,radiation_already_exceeds_target
0.5,0.3,0.9152309161463781,8241.409912086543,False
0.5,1.0,3.0507697204879265,7319.216376895384,False
0.5,2.0,6.101539440975853,6001.797040908017,False
1.0,0.3,0.45761545807318904,16878.045624969294,False
1.0,1.0,1.5253848602439632,15955.852089778138,False
1.0,2.0,3.0507697204879265,14638.432753790768,False
1.5,0.3,0.3050769720487927,25514.68133785205,False
1.5,1.0,1.0169232401626422,24592.487802660893,False
1.5,2.0,2.0338464803252845,23275.06846667352,False
2.5,0.3,0.1830461832292756,42787.952763617555,False
2.5,1.0,0.6101539440975853,41865.759228426396,False
2.5,2.0,1.2203078881951706,40548.339892439035,False
3.5,0.3,0.13074727373519687,60061.224189383065,False
3.5,1.0,0.43582424578398954,59139.0306541919,False
3.5,2.0,0.8716484915679791,57821.61131820454,False
